Kevin gets on my twitter o wow ,TrapShawtyyy,35.08584,-106.51126,2014-10-30 13:51:51;
Saw @JadnIzaiah pumping them weights today.,Swisha__Mane,35.11795,-106.6431,2014-10-30 13:52:04;
RRPS just called saying another little girl is missing. This is getting out of control.,lauren11796,35.23234,-106.69291,2014-10-30 13:52:13;
#tbt a year ago in Santa Fe atop La Fonda watching the sunset. mrsrealjoe @ Bell Tower at La Fonda on? http://t.co/TVNaBiyARt,realjoe,35.68629,-105.93811,2014-10-30 13:52:27;
I have feelings too,_Jadaakis,35.04978,-106.69337,2014-10-30 13:52:30;
Great,angela_darling3,35.07348,-106.63007,2014-10-30 13:52:51;
Yuhhhh Boosie ,D1_DREADHEAD,35.08316,-106.62153,2014-10-30 13:53:02;
I think Halloween party at Trevor's ,Trevor_O_420,35.17035,-106.52051,2014-10-30 13:53:11;
Me trying to find my Halloween costume... ,farra_felicia,35.05238,-106.63635,2014-10-30 13:54:04;
?@NoahG_24: Business law class got canceled cause my teacher is a Giants fan haha ,CierrRaw,35.06834,-106.57162,2014-10-30 13:54:32;
Does anyone have a crow?,woaahnelly,35.08012,-106.51393,2014-10-30 13:54:54;
?@UberFacts: Drinking just three cups of coffee a day can make women's breasts shrink.? ,abbeyblove,35.08167,-106.61976,2014-10-30 13:54:59;
"Love's Travel Stops & Country St...: Subway Restaurant Cashier (#Albuquerque, NM) http://t.co/u1sfNsizno #Hospitality #Job #Jobs",LovesJobs,35.08449,-106.65114,2014-10-30 13:55:38;
"@Boazziz Readg 13 Days, Real Story of Benghazi by survivors. Shockg how indifferent State Dept 2 security. Left 2b sittng ducks. Lies sick!",BEbstyne,35.68616,-105.93273,2014-10-30 13:56:09;
When Jordan doesn't come to class<< ,demori_michele,35.08637,-106.6233,2014-10-30 13:57:40;
?@mjayramirez: If you're asking to be treated like a queen and to be spoiled I hope you treat your man like a king and spoil him too? ay,Angelo9K,35.04225,-106.70528,2014-10-30 13:57:41;
I'm just not into halloween this year and that makes me sad ,St0rmy25Fry,35.24194,-106.65408,2014-10-30 13:57:41;
,Angelo9K,35.04229,-106.70532,2014-10-30 13:58:15;
my grandma just told me she voted for marijuana decriminalization ,kaitlynerin137,35.10591,-106.72222,2014-10-30 13:58:30;
Working and watching Pokemon like a boss ,bladd19,35.08142,-106.577,2014-10-30 13:58:32;
I'm like sick but I don't know with what...,Live_Love_Drea,35.08504,-106.61452,2014-10-30 13:59:05;
"@FaZe_Censor has sold me on this FazeBerry"" g-fuel flavor. Can't wait to try it. Thanks for the discount Doug. @GammaGamers @GammaLabs""",Two_Birdz,35.14678,-106.63926,2014-10-30 13:59:20;
"@damienwoody dude just saw you on @ESPN_Numbers looking good after the weight loss! Great job, I forgot you were on biggest loser. Way to go",brownbomber1978,35.11639,-106.7046,2014-10-30 13:59:30;
@youngxking babe text me back ,Liddo_Thriller_,35.08494,-106.50948,2014-10-30 13:59:53;
First they love you then they hate you then they love you again..,_richmoney69,34.80268,-106.72555,2014-10-30 14:00:31;
